# Radius scaledkt lo up
0.01051 1.0336 0.9913 1.0777
0.01231 1.0378 1.0030 1.0738
0.01354 1.0400 1.0091 1.0718
0.01578 1.0429 1.0172 1.0693
0.01754 1.0444 1.0215 1.0679
0.02071 1.0462 1.0263 1.0664
0.02194 1.0466 1.0275 1.0661
0.02435 1.0471 1.0290 1.0655
0.02465 1.0471 1.0292 1.0654
0.02510 1.0472 1.0293 1.0653
0.02748 1.0472 1.0300 1.0647
0.02762 1.0472 1.0300 1.0647
0.02826 1.0472 1.0301 1.0646
0.03179 1.0468 1.0303 1.0636
0.03302 1.0466 1.0303 1.0633
0.03366 1.0465 1.0302 1.0631
0.03481 1.0463 1.0301 1.0627
0.03540 1.0461 1.0301 1.0625
0.03760 1.0456 1.0298 1.0617
0.03823 1.0455 1.0297 1.0615
0.03926 1.0452 1.0295 1.0611
0.04272 1.0442 1.0288 1.0598
0.04358 1.0439 1.0286 1.0594
0.04456 1.0436 1.0283 1.0591
0.04840 1.0425 1.0276 1.0575
0.04876 1.0423 1.0275 1.0574
0.04882 1.0423 1.0275 1.0574
0.04890 1.0423 1.0275 1.0574
0.04978 1.0420 1.0273 1.0570
0.05058 1.0418 1.0271 1.0567
0.05193 1.0414 1.0268 1.0561
0.05501 1.0403 1.0259 1.0549
0.05556 1.0401 1.0257 1.0547
0.05633 1.0398 1.0254 1.0544
0.05994 1.0383 1.0239 1.0528
0.05999 1.0382 1.0239 1.0528
0.06023 1.0381 1.0238 1.0527
0.06179 1.0374 1.0230 1.0520
0.06460 1.0359 1.0214 1.0506
0.06492 1.0357 1.0212 1.0504
0.06504 1.0357 1.0212 1.0504
0.06554 1.0354 1.0209 1.0501
0.06777 1.0340 1.0195 1.0488
0.06792 1.0339 1.0194 1.0487
0.07130 1.0317 1.0171 1.0465
0.07139 1.0316 1.0171 1.0464
0.07229 1.0310 1.0165 1.0458
0.07417 1.0300 1.0155 1.0447
0.07469 1.0297 1.0153 1.0444
0.07540 1.0294 1.0150 1.0440
0.07641 1.0290 1.0147 1.0435
0.07832 1.0283 1.0140 1.0427
0.07863 1.0282 1.0140 1.0426
0.07919 1.0280 1.0138 1.0424
0.08158 1.0272 1.0130 1.0416
0.08321 1.0267 1.0125 1.0411
0.08333 1.0266 1.0125 1.0410
0.08656 1.0254 1.0111 1.0400
0.08779 1.0249 1.0105 1.0395
0.08949 1.0241 1.0096 1.0388
0.08950 1.0241 1.0096 1.0388
0.09059 1.0235 1.0090 1.0383
0.09200 1.0227 1.0081 1.0376
0.09284 1.0222 1.0075 1.0371
0.09443 1.0211 1.0063 1.0361
0.09589 1.0200 1.0052 1.0350
0.09681 1.0192 1.0044 1.0342
0.09889 1.0174 1.0026 1.0323
0.10125 1.0151 1.0005 1.0300
0.10156 1.0148 1.0002 1.0297
0.10407 1.0123 0.9977 1.0270
0.10597 1.0103 0.9958 1.0250
0.10637 1.0099 0.9954 1.0245
0.10833 1.0078 0.9934 1.0224
0.10936 1.0067 0.9923 1.0213
0.11115 1.0047 0.9903 1.0193
0.11139 1.0044 0.9900 1.0191
0.11199 1.0038 0.9893 1.0184
0.11250 1.0032 0.9888 1.0179
0.11471 1.0008 0.9863 1.0155
0.11852 0.9966 0.9819 1.0116
0.12018 0.9949 0.9800 1.0099
0.12288 0.9920 0.9770 1.0072
0.12330 0.9915 0.9766 1.0068
0.12386 0.9910 0.9760 1.0062
0.12686 0.9879 0.9728 1.0032
0.12752 0.9872 0.9721 1.0025
0.12818 0.9866 0.9715 1.0019
0.12930 0.9855 0.9704 1.0008
0.13154 0.9831 0.9681 0.9983
0.13196 0.9827 0.9677 0.9979
0.13295 0.9815 0.9666 0.9967
0.13610 0.9777 0.9630 0.9927
0.13992 0.9728 0.9582 0.9876
0.14030 0.9723 0.9577 0.9871
0.14172 0.9704 0.9559 0.9852
0.14293 0.9688 0.9544 0.9836
0.14699 0.9635 0.9491 0.9782
0.14718 0.9633 0.9488 0.9779
0.14759 0.9627 0.9483 0.9774
0.15078 0.9587 0.9442 0.9735
0.15125 0.9582 0.9436 0.9729
0.15280 0.9563 0.9417 0.9711
0.15640 0.9523 0.9376 0.9672
0.15891 0.9497 0.9349 0.9647
0.15939 0.9492 0.9344 0.9643
0.15983 0.9488 0.9340 0.9639
0.16319 0.9459 0.9309 0.9611
0.16557 0.9441 0.9291 0.9593
0.16687 0.9432 0.9282 0.9584
0.16771 0.9427 0.9277 0.9579
0.17041 0.9410 0.9261 0.9562
0.17443 0.9385 0.9236 0.9536
0.17455 0.9384 0.9235 0.9535
0.17913 0.9355 0.9207 0.9505
0.17926 0.9354 0.9206 0.9505
0.18151 0.9340 0.9192 0.9490
0.18371 0.9327 0.9179 0.9476
0.18406 0.9324 0.9177 0.9474
0.18439 0.9322 0.9175 0.9472
0.18730 0.9305 0.9157 0.9455
0.19736 0.9251 0.9101 0.9402
0.19759 0.9249 0.9100 0.9401
0.19811 0.9247 0.9098 0.9399
0.20075 0.9235 0.9085 0.9387
0.20185 0.9230 0.9080 0.9383
0.20371 0.9222 0.9071 0.9376
0.20869 0.9204 0.9052 0.9359
0.20920 0.9202 0.9050 0.9358
0.21579 0.9185 0.9031 0.9342
0.21818 0.9181 0.9026 0.9338
0.22046 0.9177 0.9022 0.9335
0.22107 0.9176 0.9021 0.9334
0.22496 0.9172 0.9017 0.9330
0.23125 0.9167 0.9011 0.9325
0.23169 0.9167 0.9011 0.9325
0.23452 0.9165 0.9009 0.9324
0.23998 0.9163 0.9007 0.9322
0.24549 0.9162 0.9005 0.9321
0.25241 0.9162 0.9005 0.9322
0.25343 0.9162 0.9005 0.9322
0.25456 0.9162 0.9005 0.9323
0.26110 0.9165 0.9006 0.9326
0.26971 0.9169 0.9010 0.9332
0.27794 0.9176 0.9015 0.9340
0.27865 0.9176 0.9015 0.9340
0.28169 0.9179 0.9018 0.9344
0.28360 0.9181 0.9019 0.9346
0.28380 0.9182 0.9019 0.9346
0.29378 0.9193 0.9029 0.9360
0.30242 0.9205 0.9038 0.9374
0.30489 0.9208 0.9041 0.9378
0.30809 0.9213 0.9045 0.9384
0.31967 0.9232 0.9061 0.9406
0.32002 0.9232 0.9062 0.9406
0.33466 0.9259 0.9084 0.9438
0.33533 0.9260 0.9085 0.9440
0.33539 0.9261 0.9085 0.9440
0.35072 0.9292 0.9109 0.9478
