# Radius scaledkt lo up
# r.r500   sckT  sckT.lo sckT.up
0.004391 0.3974 0.3801 0.4155
0.005202 0.4102 0.3961 0.4248
0.006181 0.4248 0.4132 0.4367
0.006241 0.4256 0.4141 0.4375
0.007230 0.4394 0.4292 0.4498
0.007312 0.4405 0.4304 0.4508
0.008420 0.4550 0.4454 0.4647
0.009480 0.4680 0.4585 0.4778
0.009575 0.4692 0.4596 0.4789
0.009957 0.4737 0.4641 0.4836
0.010867 0.4842 0.4743 0.4943
0.013201 0.5095 0.4987 0.5205
0.013818 0.5158 0.5048 0.5270
0.014544 0.5231 0.5118 0.5345
0.015334 0.5308 0.5193 0.5425
0.015454 0.5319 0.5204 0.5437
0.016288 0.5398 0.5280 0.5519
0.017147 0.5478 0.5358 0.5601
0.019281 0.5668 0.5543 0.5795
0.019781 0.5710 0.5584 0.5839
0.019802 0.5712 0.5586 0.5840
0.020433 0.5764 0.5637 0.5893
0.021056 0.5813 0.5686 0.5944
0.021206 0.5825 0.5698 0.5955
0.022842 0.5949 0.5819 0.6081
0.024059 0.6036 0.5904 0.6171
0.024257 0.6049 0.5917 0.6185
0.024942 0.6097 0.5962 0.6235
0.025141 0.6111 0.5975 0.6249
0.025186 0.6114 0.5978 0.6252
0.028902 0.6359 0.6210 0.6511
0.028905 0.6359 0.6210 0.6511
0.029818 0.6418 0.6266 0.6573
0.030636 0.6470 0.6317 0.6627
0.030765 0.6478 0.6325 0.6635
0.030869 0.6485 0.6331 0.6642
0.031026 0.6495 0.6341 0.6652
0.031102 0.6499 0.6345 0.6657
0.033884 0.6683 0.6526 0.6843
0.034035 0.6693 0.6536 0.6853
0.036878 0.6885 0.6725 0.7049
0.037023 0.6895 0.6735 0.7059
0.037032 0.6895 0.6735 0.7060
0.038188 0.6973 0.6810 0.7140
0.038448 0.6990 0.6826 0.7158
0.038562 0.6998 0.6833 0.7166
0.039925 0.7087 0.6918 0.7260
0.040729 0.7138 0.6967 0.7315
0.043049 0.7282 0.7101 0.7468
0.043184 0.7290 0.7108 0.7477
0.043227 0.7293 0.7111 0.7480
0.045566 0.7427 0.7237 0.7623
0.046396 0.7473 0.7279 0.7671
0.046559 0.7481 0.7288 0.7680
0.046574 0.7482 0.7288 0.7681
0.047337 0.7522 0.7326 0.7723
0.049578 0.7638 0.7439 0.7843
0.049800 0.7650 0.7450 0.7855
0.051102 0.7717 0.7516 0.7924
0.052455 0.7788 0.7584 0.7996
0.054276 0.7881 0.7674 0.8093
0.054943 0.7915 0.7706 0.8129
0.055082 0.7922 0.7713 0.8136
0.055931 0.7964 0.7753 0.8181
0.056595 0.7997 0.7784 0.8216
0.056724 0.8003 0.7790 0.8223
0.056873 0.8011 0.7797 0.8231
0.062286 0.8264 0.8032 0.8502
0.062529 0.8275 0.8042 0.8514
0.062668 0.8281 0.8048 0.8520
0.063618 0.8322 0.8087 0.8564
0.064403 0.8355 0.8118 0.8598
0.064887 0.8375 0.8138 0.8619
