# time       usr     sys     wio     idle
00:05:01      18      42      15      25
00:10:02      18      22      49      11
00:15:02      15      14      14      58
00:20:03      15      18      23      44
00:25:03      16      26      25      33
00:30:04      16      12      63       9
00:35:04      12       9      73       5
00:40:05      15      15      59      11
00:45:05      15      12      11      63
00:50:05      13       9      10      68
00:55:05      15      10       6      69
01:00:05      10       7       9      74
01:05:05      18      26       8      48
01:10:06      16      14      21      49
01:15:06      15      15      19      50
01:20:07      13      12      18      57
01:25:07      15       7       5      73
01:30:07      10       6       6      78
01:35:07      12       7       5      76
01:40:07      14       5       2      79
01:45:07      14       5       2      80
01:50:07      12       5       4      80
01:55:07      14       6       2      78
02:00:07       9       4       2      84
02:05:07      11       3       0      85
02:10:07      13       4       0      83
02:15:07      13       4       0      82
02:20:07      11       3       0      85
02:25:07      14       4       0      82
02:30:07       9       3       0      88
02:35:07      11       3       0      85
02:40:08      13       4       3      80
02:45:08      13       4       1      82
02:50:08      11       3       0      85
02:55:08      14       4       0      82
03:00:08       9       3       0      88
03:05:08      11       3       1      85
03:10:08      13       4       0      82
03:15:08      14       4       0      83
03:20:08      11       3       0      85
03:25:08      14       4       0      83
03:30:08       9       3       2      85
03:35:08      11       4       1      84
03:40:08      14       4       0      83
03:45:08      13       4       0      83
03:50:08      11       3       0      85
03:55:08      14       4       0      83
04:00:08       9       3       0      88
04:05:08      11       3       0      86
04:10:08      13       4       0      83
04:15:08      13       4       0      83
04:20:08      11       3       0      85
04:25:08      14       4       0      82
04:30:08       9       3       0      88
04:35:08      11       3       0      85
04:40:08      13       4       0      83
04:45:08      14       4       0      83
04:50:08      11       3       0      85
04:55:08      14       4       0      82
05:00:08       9       3       0      88
05:05:08      11       3       0      85
05:10:08      13       4       0      83
05:15:08      13       4       0      83
05:20:08      11       3       0      85
05:25:08      14       4       0      82
05:30:08       9       3       0      88
05:35:08      11       3       0      85
05:40:08      13       4       0      83
05:45:08      13       4       0      83
05:50:08      11       3       0      86
05:55:08      14       4       0      83
06:00:08       9       3       0      88
06:05:08      11       3       0      86
06:10:08      13       4       0      83
06:15:08      13       4       0      83
06:20:08      11       3       0      85
06:25:08      14       3       0      83
06:30:08       9       3       0      88
06:35:08      11       3       0      85
06:40:08      13       4       0      83
06:45:08      13       4       0      83
06:50:08      11       3       0      85
06:55:08      14       4       0      82
07:00:08       9       3       0      87
07:05:08      12       5       0      83
07:10:08      14       5       3      78
07:15:08      14       4       0      82
07:20:08      11       5       2      82
07:25:08      16       6       2      77
07:30:08       9       4       2      85
07:35:08      11       4       2      83
07:40:08      14       5       1      81
07:45:08      14       6       3      77
07:50:09      12       5       3      80
07:55:09      14       5       2      79
08:00:09       9       4       1      86
08:05:09      11       4       1      85
08:10:09      14       4       0      82
08:15:09      14       5       3      79
08:20:09      12       7       5      76
08:25:09      15       9      12      63
08:30:09      11       8      14      66
08:35:09      13       7       6      74
08:40:09      15       7       4      75
08:45:09      16       9       3      73
08:50:09      14       5       3      78
08:55:10      17      11      10      62
09:00:10      25      28       7      40
09:05:10      13       7       6      73
09:10:10      16      12       9      63
09:15:10      14       7       5      73
09:20:10      13       8       5      74
09:25:10      15       9       8      69
09:30:10      15      14      10      60
09:35:10      15      12      10      63
09:40:10      15       8       7      71
09:45:10      15       9       5      71
09:50:10      16      15      13      56
09:55:10      20      17      12      51
10:00:10      12      15      11      61
10:05:11      18      21      14      48
10:10:11      17      18      15      51
10:15:12      16       9       8      66
10:20:12      14      13      13      60
10:25:13      18      21      32      29
10:30:13      14      22      63       1
10:35:14      26      44      19      12
10:40:14      19      25      20      36
10:45:15      20      22      17      41
10:50:15      17      21      16      46
10:55:16      20      19      19      41
11:00:16      12      12      11      65
11:05:16      14      13      14      58
11:10:17      18      17      14      50
11:15:17      17      17      23      43
11:20:18      20      30      19      31
11:25:18      21      36      11      33
11:30:20      13      15      16      56
11:35:20      14      13      12      61
11:40:20      17      20      19      44
11:45:21      18      16      16      50
11:50:21      14      17      13      56
11:55:21      18      15      18      48
12:00:22      12      15      21      52
12:05:22      14      14      11      61
12:10:22      14       9       5      71
12:15:22      16      13       6      65
12:20:23      13      14       9      64
12:25:23      19      31       7      43
12:30:23      11       9       6      74
12:35:23      16      10       6      68
12:40:23      18      15       6      60
12:45:24      16       9       9      66
12:50:24      14      27       6      52
12:55:24      18      23       5      54
13:00:24      11       8       5      77
13:05:24      20      22      13      44
13:10:25      21      32      11      36
13:15:25      16      11       9      64
13:20:25      13      15       6      66
13:25:26      19      30      13      39
13:30:26      13      15      22      51
13:35:26      16      15      12      57
13:40:27      18      31       4      46
13:45:27      16      15       8      62
13:50:27      13      15      11      60
13:55:27      19      32      10      39
14:00:28      13      21      12      55
14:05:29      16      17      15      52
14:10:29      16      18      18      48
14:15:30      16      15       9      60
14:20:30      14      16      14      57
14:25:31      20      20      16      45
14:30:31      12      14      14      60
14:35:32      16      17      17      51
14:40:32      17      16      10      56
14:45:32      19      19      14      48
14:50:33      15      17      16      52
14:55:34      17      17      17      49
15:00:34      17      36      20      27
15:05:35      17      18      15      49
15:10:35      17      17      18      48
15:15:36      20      32      11      37
15:20:37      16      29      21      34
15:25:37      21      30      25      24
15:30:38      21      34      17      28
15:35:39      19      23      14      44
15:40:39      19      21      17      43
15:45:41      17      18      18      47
15:50:41      12      16      14      58
15:55:42      20      23      17      41
16:00:43      14      22      20      44
16:05:43      20      23      23      34
16:10:44      27      41      21      11
