#:year:  horse   :   time : runavg : runtotal : count
1926  :  Crusader  :  152.2 : 152.2 : 152.2 : 1
1927  :  Chance Shot  :  152.4 : 152.3 : 304.6 : 2
1928  :  Vito  :  153.2 : 152.6 : 457.8 : 3
1929  :  Blue Larkspur  :  152.8 : 152.65 : 610.6 : 4
1930  :  Gallant Fox  :  151.6 : 152.44 : 762.2 : 5
1931  :  Twenty Grand  :  149.6 : 151.967 : 911.8 : 6
1932  :  Faireno  :  152.8 : 152.086 : 1064.6 : 7
1933  :  Hurryoff  :  152.6 : 152.15 : 1217.2 : 8
1934  :  Peace Chance  :  149.2 : 151.822 : 1366.4 : 9
1935  :  Omaha  :  150.6 : 151.7 : 1517 : 10
1936  :  Granville  :  150 : 151.545 : 1667 : 11
1937  :  War Admiral  :  148.6 : 151.3 : 1815.6 : 12
1938  :  Pasteurized  :  149.4 : 151.154 : 1965 : 13
1939  :  Johnstown  :  149.6 : 151.043 : 2114.6 : 14
1940  :  Bimelech  :  149.6 : 150.947 : 2264.2 : 15
1941  :  Whirlaway  :  151 : 150.95 : 2415.2 : 16
1942  :  Shut Out  :  149.2 : 150.847 : 2564.4 : 17
1943  :  Count Fleet  :  148.2 : 150.7 : 2712.6 : 18
1944  :  Bounding Home  :  152.2 : 150.779 : 2864.8 : 19
1945  :  Pavot  :  150.2 : 150.75 : 3015 : 20
1946  :  Assault  :  150.8 : 150.752 : 3165.8 : 21
1947  :  Phalanx  :  149.4 : 150.691 : 3315.2 : 22
1948  :  Citation  :  148.2 : 150.583 : 3463.4 : 23
1949  :  Capot  :  150.2 : 150.567 : 3613.6 : 24
1950  :  Middleground  :  148.6 : 150.488 : 3762.2 : 25
1951  :  Counterpoint  :  149 : 150.431 : 3911.2 : 26
1952  :  One Count  :  150.2 : 150.422 : 4061.4 : 27
1953  :  Native Dancer  :  148.6 : 150.357 : 4210 : 28
1954  :  High Gun  :  150.8 : 150.372 : 4360.8 : 29
1955  :  Nashua  :  149 : 150.327 : 4509.8 : 30
1956  :  Needles  :  149.8 : 150.31 : 4659.6 : 31
1957  :  Gallant Man  :  146.6 : 150.194 : 4806.2 : 32
1958  :  Cavan  :  150.2 : 150.194 : 4956.4 : 33
1959  :  Sword Dancer  :  148.4 : 150.141 : 5104.8 : 34
1960  :  Celtic Ash  :  149.2 : 150.114 : 5254 : 35
1961  :  Sherluck  :  149.2 : 150.089 : 5403.2 : 36
1962  :  Jaipur  :  148.8 : 150.054 : 5552 : 37
1963  :  Chateaugay  :  150.2 : 150.058 : 5702.2 : 38
1964  :  Quadrangle  :  148.4 : 150.015 : 5850.6 : 39
1965  :  Hail To All  :  148.4 : 149.975 : 5999 : 40
1966  :  Amberoid  :  149.6 : 149.966 : 6148.6 : 41
1967  :  Damascus  :  148.8 : 149.938 : 6297.4 : 42
1968  :  Stage Door Johnny  :  147.2 : 149.874 : 6444.6 : 43
1969  :  Arts and Letters  :  148.8 : 149.85 : 6593.4 : 44
1970  :  High Echelon  :  154 : 149.942 : 6747.4 : 45
1971  :  Pass Catcher  :  150.4 : 149.952 : 6897.8 : 46
1972  :  Riva Ridge  :  148 : 149.911 : 7045.8 : 47
1973  :  Secretariat  :  144 : 149.787 : 7189.8 : 48
1974  :  Little Current  :  149.2 : 149.776 : 7339 : 49
1975  :  Avatar  :  148.2 : 149.744 : 7487.2 : 50
1976  :  Bold Forbes  :  149.0 : 149.729 : 7636.2 : 51
1977  :  Seattle Slew  :  149.6 : 149.727 : 7785.8 : 52
1978  :  Affirmed  :  146.8 : 149.672 : 7932.6 : 53
1979  :  Coastal  :  148.6 : 149.652 : 8081.2 : 54
1980  :  Temperence Hill  :  149.8 : 149.655 : 8231 : 55
1981  :  Summing  :  149 : 149.643 : 8380 : 56
1982  :  Conquistador Cielo  :  148.2 : 149.618 : 8528.2 : 57
1983  :  Caveat  :  147.8 : 149.586 : 8676 : 58
1984  :  Swale  :  147.2 : 149.546 : 8823.2 : 59
1985  :  Creme Fraiche  :  147 : 149.503 : 8970.2 : 60
1986  :  Danzig Connection  :  149.8 : 149.508 : 9120 : 61
1987  :  Bet Twice  :  148.2 : 149.487 : 9268.2 : 62
1988  :  Risen Star  :  146.4 : 149.438 : 9414.6 : 63
1989  :  Easy Goer  :  146 : 149.384 : 9560.6 : 64
1990  :  Go And Go  :  147.2 : 149.351 : 9707.8 : 65
1991  :  Hansel  :  148 : 149.33 : 9855.8 : 66
1992  :  A.P. Indy  :  146 : 149.281 : 10001.8 : 67
1993  :  Colonial Affair  :  149.8 : 149.288 : 10151.6 : 68
1994  :  Tabasco Cat  :  146.8 : 149.252 : 10298.4 : 69
1995  :  Thunder Gulch  :  152 : 149.291 : 10450.4 : 70
1996  :  Editor's Note  :  148.8 : 149.285 : 10599.2 : 71
1997  :  Touch Gold  :  148.8 : 149.278 : 10748 : 72
1998  :  Victory Gallop  :  149 : 149.274 : 10897 : 73
1999  :  Lemon Drop Kid  :  147.8 : 149.254 : 11044.8 : 74
2000  :  Commendable  :  151.2 : 149.28 : 11196 : 75
2001  :  Point Given  :  146.8 : 149.247 : 11342.8 : 76
2002  :  Sarava  :  149.71 : 149.253 : 11492.5 : 77
2003  :  Empire Maker  :  148.26 : 149.241 : 11640.8 : 78
2004  :  Birdstone  :  147.5 : 149.219 : 11788.3 : 79
2005  :  Afleet Alex  :  148.75 : 149.213 : 11937 : 80
2006  :  Jazil  :  147.81 : 149.195 : 12084.8 : 81
2007  :  Rags to Riches  :  148.74 : 149.19 : 12233.6 : 82
