  0 a 69.44   .   64.24 74.65
  0 b 74.62   .   70.45 78.79
  6 a 57.59   .   52.11 63.07
  6 b 66.26   .   60.91 71.61
 12 a 58.46  0.81 56.69 60.22
 12 b 67.28  2.90 63.17 71.40
 24 a 55.13  2.52 51.87 58.38
 24 b 63.07  2.94 59.04 67.10
 36 a 59.39  6.25 53.95 64.82
 36 b 54.62  6.65 49.39 59.85
 48 a 53.67  6.91 48.48 58.86
 48 b 57.62 38.09 41.97 73.26
 60 a 53.45  7.06 48.20 58.71
 60 b 64.53  7.91 58.30 70.76
 72 a 54.74  7.25 49.42 60.07
 72 b 59.41 10.88 51.47 67.34
 84 a 61.48  7.60 56.01 66.94
 84 b 63.78  5.09 59.05 68.52
 96 a 56.87  8.35 51.17 62.56
 96 b 65.90  6.46 60.25 71.56
108 a 57.37 18.97 47.68 67.05
108 b 62.27  8.07 56.38 68.16
120 a 55.51 12.81 48.46 62.56
120 b 53.52  6.95 48.35 58.69
