# strain xval xse xsd extra yval yse ysd
129S3/SvImJ 1.59 0.0309 0.0977 129S3/SvImJ 33.2 4.93 15.6
A/J 2.21 0.0589 0.186 A/J 25.9 3.90 12.3
AKR/J 2.53 0.0755 0.239 AKR/J 5.68 1.62 3.63
B6.Cg-A<y> 1.92 0.0463 0.270 B6.Cg-A<y> 27.2 1.66 9.25
B6.Cg-m+/+Lepr<db> 4.14 0.226 0.903 B6.Cg-m+/+Lepr<db> 46.6 6.84 26.5
B6.V-Lep<ob> 4.83 0.191 0.856 B6.V-Lep<ob> 55.0 5.74 24.4
BALB/cJ 2.23 0.0806 0.255 BALB/cJ 7.91 1.36 4.31
BKS.Cg-m+/+Lepr<db> 3.85 0.253 0.979 BKS.Cg-m+/+Lepr<db> 14.1 2.42 8.02
BKS.HRS-Cpe<fat>/J 2.11 0.0996 0.423 BKS.HRS-Cpe<fat>/J 13.8 2.71 11.5
BPH/2@J 1.29 0.0532 0.160 BPH/2@J 8.70 1.52 4.55
BPL/1@J 1.66 0.0489 0.155 BPL/1@J 10.0 1.22 3.67
BPN/3@J 1.59 0.0417 0.125 BPN/3@J 27.2 3.42 10.3
BTBR+Ttf/tf 2.26 0.0560 0.224 BTBR+Ttf/tf 18.4 3.18 12.7
C3H/HeJ 1.85 0.134 0.402 C3H/HeJ 11.0 2.14 6.77
C57BL/10J 1.73 0.0366 0.116 C57BL/10J 13.0 3.72 11.1
C57BL/6J 1.76 0.0728 0.291 C57BL/6J 28.7 2.75 11.0
C57BL/6J-tub/+ 2.51 0.0814 0.415 C57BL/6J-tub/+ 27.7 2.75 14.0
C57BLKS/J 1.70 0.119 0.476 C57BLKS/J 10.1 1.27 4.40
C57BR/cdJ 1.77 0.0644 0.204 C57BR/cdJ 8.83 1.80 5.71
C57L/J 1.63 0.0414 0.131 C57L/J 12.8 2.24 6.71
C58/J 3.30 0.132 0.396 C58/J 65.7 12.6 40.0
CAST/Ei 1.02 0.0200 0.0600 CAST/Ei 7.74 1.79 5.36
CBA/J 2.03 0.0606 0.192 CBA/J 5.85 2.36 5.77
CE/J 2.15 0.162 0.427 CE/J 17.9 13.9 31.0
CZECHII/Ei 0.824 0.0347 0.0777 CZECHII/Ei 6.49 1.31 3.46
DBA/1J 1.27 0.0124 0.0371 DBA/1J 6.07 1.33 3.26
DBA/2J 2.03 0.0615 0.184 DBA/2J 5.94 2.95 8.84
FVB/NJ 1.96 0.129 0.223 FVB/NJ 23.6 1.80 3.11
I/LnJ 1.63 0.0879 0.278 I/LnJ 19.7 1.88 5.65
KK/H1J 2.53 0.250 0.749 KK/H1J 29.5 8.93 25.2
LP/J 1.70 0.0766 0.242 LP/J 18.6 2.77 7.83
MOLF/Ei 2.21 0.0749 0.237 MOLF/Ei 26.9 3.80 11.4
NOD/LtJ 2.66 0.128 0.338 NOD/LtJ 40.6 13.3 29.7
NON/LtJ 2.59 0.0688 0.218 NON/LtJ 29.5 2.94 8.81
NZB/BlNJ 2.85 0.0806 0.242 NZB/BlNJ 5.52 1.12 3.17
NZW/LacJ 2.24 0.102 0.324 NZW/LacJ 16.6 2.85 8.05
P/J 1.99 0.0644 0.204 P/J 14.7 3.90 10.3
PERA/Ei 1.86 0.170 0.340 PERA/Ei 61.1 24.6 49.1
PL/J 1.79 0.0561 0.0971 PL/J 5.13 0.677 1.17
RBF/DnJ 2.20 0.0882 0.265 RBF/DnJ 12.2 4.33 12.2
RF/J 2.27 0.105 0.258 RF/J 6.86 1.71 3.83
RIIIS/J 2.00 0.110 0.331 RIIIS/J 40.2 6.86 20.6
SEA/GnJ 1.62 0.0264 0.0835 SEA/GnJ 9.11 1.45 4.35
SJL/J 1.78 0.0465 0.139 SJL/J 4.76 0.818 2.16
SM/J 1.68 0.0942 0.231 SM/J 4.20 1.29 2.23
SPRET/Ei 0.888 0.0285 0.0638 SPRET/Ei 10.3 1.75 3.51
SWR/J 2.09 0.244 0.690 SWR/J 7.67 1.13 2.99
WSB/Ei 1.02 0.0419 0.103 WSB/Ei 1.58 0.310 0.694
